query,intent,added_by
what brain methods are there?,documentation,Jacob
what is an evaluation key?,documentation,Jacob
how do I remove duplicate images from my dataset?,documentation,Jacob
how do I evaluate models in 51?,documentation,Jacob
how do I find annotation mistakes,documentation,Jacob
Can I remove duplicate or near-duplicate images?,documentation,Jacob
how do I add model predictions to my data?,documentation,Jacob
what tutorials does Voxel51 have around the library?,documentation,Jacob
what workflows are supported?,documentation,Jacob
what is the embeddings panel?,documentation,Jacob
what methods does compute_visualization support?,documentation,Jacob
how do I use lasso selection in the app?,documentation,Jacob
can I change the color scheme?,documentation,Jacob
what is a vector field?,documentation,Jacob
is umap supported?,documentation,Jacob
can I use tsne to visualize my samples?,documentation,Jacob
how do I load the berkeley deep drive dataset?,documentation,Jacob
what is a brain key?,documentation,Jacob
what arguments does filter_labels take,documentation,Jacob
what is the ViewField F?,documentation,Jacob
what is the F symbol?,documentation,Jacob
how are view expressions used in fiftyone?,documentation,Jacob
can i specify the layout of spaces in the app?,documentation,Jacob
what are the similarity backends,documentation,Jacob
what does the supports_prompts argument represent?,documentation,Jacob
how is the SDK related to the app?,documentation,Jacob
how do I use find_duplicates?,documentation,Jacob
where do I see the default similarity backend?,documentation,Jacob
are embeddings automatically computed for my images?,documentation,Jacob
how do I use Qdrant for similarity searches?,documentation,Jacob
Can I use pinecone to search my images?,documentation,Jacob
it is possible to delete samples?,documentation,Jacob
where are hardness results stored?,documentation,Jacob
how do I see my brain runs?,documentation,Jacob
can I change the name of a brain run?,documentation,Jacob
why would I use teams?,documentation,Jacob
what is the difference between open source and teams?,documentation,Jacob
can I collaborate with others?,documentation,Jacob
how do I manage permissions?,documentation,Jacob
my dataset is large. Can I load the media files directly from the cloud?,documentation,Jacob
can I save a local copy of my images?,documentation,Jacob
will I ever need to upgrade or downgrade my deployment?,documentation,Jacob
what features do guests have access to?,documentation,Jacob
how do the guest and member roles differ?,documentation,Jacob
"if I'm an admin, can I set permissions for team members?",documentation,Jacob
my media files are stored in an S3 bucket. Is that okay?,documentation,Jacob
"I know fiftyone supports google cloud and amazon S3, but does it work with microsoft azure?",documentation,Jacob
what is a polyline?,documentation,Jacob
how do I use the annotate() method?,documentation,Jacob
is there a way to configure my CVAT login credentials?,documentation,Jacob
what is a label_schema?,documentation,Jacob
can I load in annotations from Label studio or labelbox?,documentation,Jacob
can I set the IoU threshold used for evaluations?,documentation,Jacob
does fiftyone support activity-net style evaluation?,documentation,Jacob
can I filter my dataset for false positives?,documentation,Jacob
how do I get a mean average precision with evaluation?,documentation,Jacob
what is a grouped dataset?,documentation,Jacob
can I make a different group slice display in the app?,documentation,Jacob
is set_values the same as set_field?,documentation,Jacob
tell me more about the orthographic projections,documentation,Jacob
can I draw labels on my images?,documentation,Jacob
how do I customize the label rendering?,documentation,Jacob
what aggregations can I run?,documentation,Jacob
how do I see the min and max values for a field,documentation,Jacob
what is a dynamic attribute?,documentation,Jacob
can I see histograms of my data in the app?,documentation,Jacob
how do I get an individual frame in a video?,documentation,Jacob
do I need to install pytorch or tensorflow to work with fiftyone?,documentation,Jacob
nkduabvieufbvef,invalid,Jacob
what is the meaning of life?,invalid,Jacob
make me a ton of money,invalid,Jacob
4+12**2,invalid,Jacob
I like images and videos,invalid,Jacob
Show me the label mapping,invalid,Jacob
How do I install the FiftyOne library on my system?,documentation,Jacob
Can you explain the main features of the FiftyOne library?,documentation,Jacob
What are some good resources to learn FiftyOne?,documentation,Jacob
How do I load datasets into FiftyOne?,documentation,Jacob
What kind of visualizations can I create using FiftyOne?,documentation,Jacob
How does FiftyOne integrate with PyTorch?,documentation,Jacob
Can I use FiftyOne for annotation tasks?,documentation,Jacob
What is the utility of the FiftyOne App in the FiftyOne library?,documentation,Jacob
How can I export datasets from FiftyOne in a specific format?,documentation,Jacob
What kind of dataset formats are supported by FiftyOne?,documentation,Jacob
How does FiftyOne assist in exploring and debugging my models?,documentation,Jacob
Can I use FiftyOne to compare different models' predictions?,documentation,Jacob
How do I apply transformations to images in a FiftyOne dataset?,documentation,Jacob
Is there a way to handle segmentation masks in FiftyOne?,documentation,Jacob
Can you explain how FiftyOne handles object detection tasks?,documentation,Jacob
Does FiftyOne have features to support video datasets?,documentation,Jacob
How to handle annotations in FiftyOne?,documentation,Jacob
How can FiftyOne assist in finding edge cases and anomalies in my dataset?,documentation,Jacob
What are the benefits of using FiftyOne for my computer vision projects?,documentation,Jacob
What's the weather like in New York?,invalid,Jacob
How do I prepare a chocolate soufflé?,invalid,Jacob
Can you tell me about the history of the Eiffel Tower?,invalid,Jacob
Who won the NBA championship in 2022?,invalid,Jacob
Can you recommend some thriller books?,invalid,Jacob
